"","star_results.CbriggsaeAligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep2Aligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep3Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep1Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep2Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid_rep3Aligned.sortedByCoord.out.bam"
"WBGene00040698__Cni-imb-3",1880,1902,1778,1230,986,664,2566,3537,2244,1872,2684,1722
"WBGene00040699__Cni-xpo-2",272,464,274,128,70,118,248,228,202,170,158,40
"WBGene00040700__Cni-Y48G1A.4",237,304,128,46,34,38,36,136,136,86,0,52
"WBGene00040703__Cni-daf-25",0,0,0,0,0,0,0,0,1,0,0,0
"WBGene00040704__Cnig_chr_I.g496",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00040705__Cni-W04C9.5",0,24,0,0,8,0,26,0,6,0,0,0
"WBGene00040706__Cni-ztf-3",24,48,44,12,0,0,4,14,0,24,64,0
"WBGene00040707__Cni-C53D5.1",326,232,182,50,152,90,80,48,60,142,130,94
"WBGene00040708__Cni-gap-3",104,106,126,70,42,50,158,134,110,150,108,62
"WBGene00270388__Cnig_chr_I.g512",18,32,66,0,0,4,0,6,16,0,0,0
"WBGene00040711__Cni-gsa-1",435,349,190,160,154,126,252,353,349,559,539,449
"WBGene00040714__Cnig_chr_I.g515",480,882,414,348,413,296,648,758,546,808,956,489
"WBGene00040714__Cni-npr-23",480,882,414,348,413,296,648,758,546,808,956,489
"WBGene00040715__Cnig_chr_I.g519",52,76,28,14,4,16,32,36,6,28,32,24
"WBGene00040716__Cni-R06A10.1",47,60,84,32,0,0,16,32,16,6,6,18
"WBGene00040718__Cni-R06A10.4",84,64,14,28,18,12,54,36,30,52,43,28
"WBGene00040719__Cni-npp-13",1522,1425,1089,392,250,166,667,760,474,461,533,366
"WBGene00040719__Cni-Y37E3.19",1522,1425,1089,392,250,166,667,760,474,461,533,366
"WBGene00040719__Cni-fpn-1.1",1522,1425,1089,392,250,166,667,760,474,461,533,366
"WBGene00040722__Cni-Y37E3.17",1580,1712,1206,906,1015,860,898,722,666,1012,1064,754
"WBGene00040725__Cni-inst-1",546,494,444,88,93,50,154,114,104,72,16,16
"WBGene00040726__Cnig_chr_I.g531",409,328,250,236,235,228,278,374,258,356,473,134
"WBGene00040726__Cni-B0025.5",409,328,250,236,235,228,278,374,258,356,473,134
"WBGene00040726__Cnig_chr_I.g534",409,328,250,236,235,228,278,374,258,356,473,134
