"","Cni.Cbr.x","Cbr.ZZY10330_h1","Cni.ZZY10330_h1","cis_trans.x","inheritance.x","logFC.ZZY10330.vs.Cbr","logFC.ZZY10330.vs.Cni","logFC.species.x","position.x","chromosome.x","introgression.x","Inheritance_sum.x","cis_trans_sum.x","Cni.Cbr.y","Cbr.ZZY10307_h2","Cni.ZZY10307_h2","cis_trans.y","inheritance.y","logFC.ZZY10307.vs.Cbr","logFC.ZZY10307.vs.Cni","logFC.species.y","position.y","chromosome.y","introgression.y","Inheritance_sum.y","cis_trans_sum.y"
"WBGene00000307__Cni-bli-4",0,-1,-1,"compensatory trans down","underdominant",-0.71550746470748,-0.643417978063565,-0.018953699803051,10016579,"I","C. nigoni background","Underdominant","Compensatory",0,-1,-1,"compensatory trans down","underdominant",-1.28795373655138,-1.28065310641453,-0.018953699803051,10016579,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00000307__Cnig_chr_I.g2423",-1,-1,0,"no effect","C. nigoni dominant",-11.1190526571177,-2.7838677627526,-8.35154047818853,10021249,"I","C. nigoni background","Cni dominant","No change",-1,-1,0,"no effect","C. nigoni dominant",-7.38326016749836,0.967360675915067,-8.35154047818853,10021249,"I","C. nigoni background","Cni dominant","No change"
"WBGene00000307__Cnig_chr_I.g2424",-1,-1,0,"no effect","C. nigoni dominant",-3.93725629223045,-0.259856649316979,-3.62564383467465,10022131,"I","C. nigoni background","Cni dominant","No change",-1,-1,0,"no effect","C. nigoni dominant",-4.26599075072702,-0.648839611125736,-3.62564383467465,10022131,"I","C. nigoni background","Cni dominant","No change"
"WBGene00000328__Cni-fem-2",0,0,0,"conserved","no change",0.037746003330489,0.864719274462233,-0.769286386973073,33448,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.0698382977692095,0.82773556917058,-0.769286386973073,33448,"III","C. nigoni background","No change","Conserved"
"WBGene00000329__Cni-fem-3",0,0,0,"conserved","no change",-0.772864243277118,0.693548711568346,-1.4122061913267,5362966,"IV","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.508785786450616,0.896062250148995,-1.4122061913267,5362966,"IV","C. nigoni background","No change","Conserved"
"WBGene00023521__Cni-T04A6.1",0,1,1,"compensatory trans up","overdominant",1.07290487567806,1.09640533039217,0.029191514106213,12870394,"III","C. nigoni background","Overdominant","Compensatory",0,1,1,"compensatory trans up","overdominant",0.876041196839806,0.836058229209395,0.029191514106213,12870394,"III","C. nigoni background","Overdominant","Compensatory"
"WBGene00023526__Cni-upp-1",0,0,0,"conserved","no change",0.465131001653966,0.333993857751573,0.190851831353879,12943293,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.0940417857589268,-0.106590558496037,0.190851831353879,12943293,"III","C. nigoni background","No change","Conserved"
"WBGene00023527__Cni-baz-2",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",0.275701924152447,2.28869117393699,-1.96331641998576,12933184,"III","C. nigoni background","Cbr dominant","trans-only",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.398259754296723,1.55037885370053,-1.96331641998576,12933184,"III","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023529__Cnig_chr_III.g11431",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",0.900001350506966,-1.65215496024901,2.61197388458283,12953369,"III","C. nigoni background","Cbr dominant","trans-only",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",0.536964490266809,-2.08446808156613,2.61197388458283,12953369,"III","C. nigoni background","Cbr dominant","trans-only"
"WBGene00023533__Cni-lin-13",0,0,0,"conserved","no change",0.191140970649124,0.487258988444894,-0.241868168339054,12979426,"III","C. nigoni background","No change","Conserved",0,0,1,"ambiguous","ambiguous",0.443292018186926,0.67271823436249,-0.241868168339054,12979426,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023536__Cni-egl-45",0,0,0,"conserved","no change",-0.443435648734932,-0.253906529899764,-0.13272906792359,13004375,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.125694969693721,-0.00377783587643692,-0.13272906792359,13004375,"III","C. nigoni background","No change","Conserved"
"WBGene00023537__Cni-egl-5",0,0,0,"conserved","no change",0.103297803828448,1.11292480348543,-0.943934963606214,13019535,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.857153754171042,1.79912852839741,-0.943934963606214,13019535,"III","C. nigoni background","No change","Conserved"
"WBGene00023538__Cni-cyk-7",0,-1,0,"ambiguous","ambiguous",-1.20967453121251,-0.834381171754182,-0.317303403104353,13048936,"III","C. nigoni background","Ambiguous","Ambiguous",0,-1,0,"ambiguous","ambiguous",-0.887940960122639,-0.581486871805778,-0.317303403104353,13048936,"III","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00023539__Cnig_chr_III.g11444",0,0,0,"conserved","no change",-0.312117223312749,0.309902079988867,-0.561541374894727,13074113,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.457861164672575,1.01349119503414,-0.561541374894727,13074113,"III","C. nigoni background","No change","Conserved"
"WBGene00023540__Cni-snu-23",0,0,0,"conserved","no change",0.22512650907471,-0.452836785077827,0.737744732378172,13093884,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.625299312046311,-0.122755874462886,0.737744732378172,13093884,"III","C. nigoni background","No change","Conserved"
"WBGene00023542__Cni-ZK686.2",0,0,0,"conserved","no change",-0.88949821462245,-0.0754897603867184,-0.765132250223549,13098051,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",-0.164206708759552,0.587843596480362,-0.765132250223549,13098051,"III","C. nigoni background","No change","Conserved"
"WBGene00023543__Cni-mtx-2",0,0,0,"conserved","no change",-0.317699688070383,-0.817275477529647,0.56027932576331,13102533,"III","C. nigoni background","No change","Conserved",0,0,0,"conserved","no change",0.210162926795791,-0.357983271321253,0.56027932576331,13102533,"III","C. nigoni background","No change","Conserved"
"WBGene00023545__Cnig_chr_III.g11452",1,1,0,"no effect","C. nigoni dominant",2.03857903203742,-0.302883886044647,2.39361522702294,13108250,"III","C. nigoni background","Cni dominant","No change",1,1,0,"no effect","C. nigoni dominant",2.06431926463066,-0.340369591763409,2.39361522702294,13108250,"III","C. nigoni background","Cni dominant","No change"
