"","Cni.Cbr","Cbr.ZZY10307_h2","Cni.ZZY10307_h2","cis_trans","inheritance","logFC.ZZY10307.vs.Cbr","logFC.ZZY10307.vs.Cni","logFC.species","position","chromosome","introgression","Inheritance_sum","cis_trans_sum"
"WBGene00040698__Cni-imb-3",0,1,1,"compensatory trans up","overdominant",0.862036674222369,1.12810926103387,-0.276977427628748,2703878,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040699__Cni-xpo-2",0,0,0,"conserved","no change",0.485473420099197,0.599826675969603,-0.123829179957287,2709867,"I","C. nigoni background","No change","Conserved"
"WBGene00040700__Cni-Y48G1A.4",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.0733657875183576,1.32061190806537,-1.40205436450298,2715663,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00040703__Cni-daf-25",1,1,0,"no effect","C. nigoni dominant",9.48673958097711,0.427986854005806,9.04863345933232,2724805,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040706__Cni-ztf-3",0,0,0,"conserved","no change",0.14631952727966,0.596402726430974,-0.462260199080751,2752786,"I","C. nigoni background","No change","Conserved"
"WBGene00040707__Cni-C53D5.1",0,0,-1,"ambiguous","ambiguous",-0.942554421843929,-1.29925140209906,0.347066623700041,2774368,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040708__Cni-gap-3",0,1,0,"ambiguous","ambiguous",1.13086234605735,0.999681723540381,0.117680754488797,2780734,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00270388__Cnig_chr_I.g512",0,0,0,"conserved","no change",-1.27976664440197,1.04107174398327,-2.33025513173413,2809425,"I","C. nigoni background","No change","Conserved"
"WBGene00040711__Cni-gsa-1",0,0,0,"conserved","no change",0.267288143664704,0.689549896540488,-0.431509305643974,2815711,"I","C. nigoni background","No change","Conserved"
"WBGene00040714__Cnig_chr_I.g515",-1,-1,0,"no effect","C. nigoni dominant",-1.16720641307146,0.569375653602966,-1.74368639289003,2826439,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040714__Cni-npr-23",-1,-1,0,"no effect","C. nigoni dominant",-4.21393848046847,0.465838555057872,-4.68220350850925,2828837,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040715__Cnig_chr_I.g519",0,0,0,"conserved","no change",-1.23033700395083,-0.505407315906327,-0.74331288076549,2837502,"I","C. nigoni background","No change","Conserved"
"WBGene00040716__Cni-R06A10.1",0,0,0,"conserved","no change",-1.28789254179323,0.134476513740322,-1.44086562839956,2843216,"I","C. nigoni background","No change","Conserved"
"WBGene00040718__Cni-R06A10.4",0,0,0,"conserved","no change",0.299543419537158,0.584379621760343,-0.294226242386769,2846935,"I","C. nigoni background","No change","Conserved"
"WBGene00040719__Cni-npp-13",-1,-1,1,"C. briggsae partial trans up","additive up",-1.16600774145548,0.803814159762575,-1.9813916406359,2866447,"I","C. nigoni background","Additive","cis-trans"
"WBGene00040719__Cni-Y37E3.19",-1,-1,-1,"C. briggsae partial trans down","underdominant",-3.13774260170519,-1.38479627777327,-1.76604659405651,2871820,"I","C. nigoni background","Underdominant","cis-trans"
"WBGene00040719__Cni-fpn-1.1",-1,-1,0,"no effect","C. nigoni dominant",-1.79239174069942,-0.563084484745814,-1.23789288531714,2875906,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040722__Cni-Y37E3.17",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",0.0477740512047302,-0.585832346580657,0.623490822434681,2888144,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00040725__Cni-inst-1",0,1,0,"ambiguous","ambiguous",0.588063666629117,0.576370317216472,-4.33636815123396e-05,2903364,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040726__Cnig_chr_I.g531",-1,-1,0,"no effect","C. nigoni dominant",-1.00084419234545,0.121755807815028,-1.13482421788989,2927514,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040726__Cni-B0025.5",1,1,-1,"C. briggsae partial trans down","additive down",1.37151629344826,-1.44009177347083,2.80026448416261,2929809,"I","C. nigoni background","Additive","cis-trans"
"WBGene00040726__Cnig_chr_I.g534",0,0,0,"conserved","no change",0.00340962625539049,-0.200469249590265,0.194011692251479,2932066,"I","C. nigoni background","No change","Conserved"
"WBGene00086596__Cni-B0025.4",0,0,0,"conserved","no change",0.324345150461789,0.63052515402569,-0.315698041724808,2936996,"I","C. nigoni background","No change","Conserved"
"WBGene00040729__Cni-vps-34",0,0,1,"ambiguous","ambiguous",0.415957414072709,1.39402045062961,-0.987097612093991,2940089,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040732__Cni-madf-6",0,1,0,"ambiguous","ambiguous",3.52232702107957,1.07214377390097,2.43563279339209,2969422,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040733__Cni-hmbx-1",0,0,0,"conserved","no change",-0.681493825123868,-0.955898147359032,0.258482043523222,2986692,"I","C. nigoni background","No change","Conserved"
"WBGene00040734__Cni-C54G6.2",0,0,0,"conserved","no change",-2.00565240593646,-0.26960176678651,-1.73236823477094,3001184,"I","C. nigoni background","No change","Conserved"
"WBGene00270840__Cnig_chr_I.g546",1,1,-1,"C. briggsae partial trans down","additive down",4.61881806911773,-4.44362734485207,9.03913662315804,3004941,"I","C. nigoni background","Additive","cis-trans"
"WBGene00040738__Cni-F13E9.5",0,-1,-1,"compensatory trans down","underdominant",-1.2687935835601,-1.46341817204138,0.184386686504384,3007956,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00270394__Cnig_chr_I.g548",0,0,0,"conserved","no change",0.551551908752964,-0.178816539666345,0.7204686723037,3009876,"I","C. nigoni background","No change","Conserved"
"WBGene00040743__Cnig_chr_I.g554",0,1,1,"compensatory trans up","overdominant",2.39730998344231,2.90698856556468,-0.518374086800627,3036560,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040749__Cni-Y51F10.4",0,0,0,"conserved","no change",0.191711081159719,-0.405393336392868,0.587283039154689,3128041,"I","C. nigoni background","No change","Conserved"
"WBGene00040750__Cni-hex-4",0,0,0,"conserved","no change",0.276099654939851,-0.0541093762042163,0.316454551671309,3124588,"I","C. nigoni background","No change","Conserved"
"WBGene00040753__Cnig_chr_I.g577",0,0,0,"conserved","no change",-0.438058041852547,0.963144241209085,-1.41680008398169,3120519,"I","C. nigoni background","No change","Conserved"
"WBGene00040753__Cnig_chr_I.g576",1,1,0,"no effect","C. nigoni dominant",5.85873012866391,-0.294373861809704,6.14240760183602,3118760,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040753__Cni-trpp-10",0,0,0,"conserved","no change",-0.574060414250535,0.430355615175164,-1.01986458453709,3112322,"I","C. nigoni background","No change","Conserved"
"WBGene00040755__Cni-Y51F10.3",0,1,1,"compensatory trans up","overdominant",1.10147215685406,1.37475654371833,-0.280334781147096,3101393,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040756__Cni-Y51F10.11",0,0,0,"conserved","no change",1.04814134331691,-0.0498292555445662,1.08958614736774,3098031,"I","C. nigoni background","No change","Conserved"
"WBGene00040758__Cni-spe-48",0,0,0,"conserved","no change",0.40458445778601,0.584467492497188,-0.19074080638803,3095296,"I","C. nigoni background","No change","Conserved"
"WBGene00040759__Cni-Y51F10.2",0,0,0,"conserved","no change",-1.97771614190429,0.220776418160647,-2.20131702153318,3092775,"I","C. nigoni background","No change","Conserved"
"WBGene00040760__Cni-mab-20",0,0,0,"conserved","no change",0.602948575601368,0.730681095495478,-0.140117414293509,3084912,"I","C. nigoni background","No change","Conserved"
"WBGene00040761__Cnig_chr_I.g563",1,1,0,"no effect","C. nigoni dominant",1.53857821773223,-0.374221025954851,1.89643438610568,3082790,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040762__Cni-Y71G12B.32",1,1,0,"no effect","C. nigoni dominant",3.51158145405922,0.924219251573454,2.56901485264121,3078644,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040764__Cnig_chr_I.g72",-1,-1,-1,"C. briggsae partial trans down","underdominant",-13.262674294224,-6.36412747741249,-6.91543141967089,297627,"I","C. nigoni background","Underdominant","cis-trans"
"WBGene00040767__Cnig_chr_I.g70",1,-1,-1,"C. briggsae partial trans down","underdominant",-1.38595749715624,-2.24297404911253,0.848074038100093,286318,"I","C. nigoni background","Underdominant","cis-trans"
"WBGene00040768__Cni-Y71G12B.17",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",-0.517374784978749,-1.66265255303616,1.135510856608,284581,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00270358__Cnig_chr_I.g68",0,0,0,"conserved","no change",0.575239464577646,0.991622785914436,-0.424501333275318,282057,"I","C. nigoni background","No change","Conserved"
"WBGene00040769__Cnig_chr_I.g67",0,0,0,"conserved","no change",1.80614336109879,0.82613028663058,0.976104048786263,280160,"I","C. nigoni background","No change","Conserved"
"WBGene00040770__Cni-drag-1",0,0,0,"conserved","no change",0.172908579718647,-0.710916621978093,0.87722187851155,273777,"I","C. nigoni background","No change","Conserved"
"WBGene00040771__Cnig_chr_I.g64",0,0,0,"conserved","no change",-0.655737301811343,-0.639711477647055,-0.0221250167170658,269290,"I","C. nigoni background","No change","Conserved"
"WBGene00040772__Cni-ubc-3",1,1,0,"no effect","C. nigoni dominant",1.05168590997461,0.464734948221925,0.576762548204101,265332,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040774__Cnig_chr_I.g60",0,1,0,"ambiguous","ambiguous",0.911188242714036,0.78454121137571,0.116482700818312,259914,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040775__Cnig_chr_I.g59",0,1,0,"ambiguous","ambiguous",0.835977031502611,-0.134573631585624,0.960759921756023,257387,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040776__Cni-tln-1",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",0.242001147138813,1.02785082965032,-0.797200266889486,237867,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00040777__Cni-pqn-88",0,0,0,"conserved","no change",0.403979400497462,0.379651087849936,0.00252507416028971,236592,"I","C. nigoni background","No change","Conserved"
"WBGene00040778__Cnig_chr_I.g56",0,0,0,"conserved","no change",-0.475026640175412,0.249357323833128,-0.743306759568879,233374,"I","C. nigoni background","No change","Conserved"
"WBGene00040779__Cni-cpx-1",0,0,0,"conserved","no change",0.121286563750994,0.697553555262295,-0.587052991978303,231340,"I","C. nigoni background","No change","Conserved"
"WBGene00040780__Cni-Y73E7A.2",0,0,0,"conserved","no change",-0.208237622410606,0.851369827737966,-1.06876503157325,226111,"I","C. nigoni background","No change","Conserved"
"WBGene00040781__Cni-Y73E7A.6",0,0,0,"conserved","no change",-1.03291303366798,-0.214007612442079,-0.833070503524208,225268,"I","C. nigoni background","No change","Conserved"
"WBGene00040784__Cni-adpr-1",0,0,0,"conserved","no change",0.195576168040402,0.364873619565506,-0.178224521674186,219357,"I","C. nigoni background","No change","Conserved"
"WBGene00040786__Cni-Y73E7A.1",0,0,0,"conserved","no change",-0.145276185687337,-0.597406274826191,0.441876557252423,208876,"I","C. nigoni background","No change","Conserved"
"WBGene00040787__Cni-bre-4",0,0,-1,"ambiguous","ambiguous",-0.550317069403914,-0.95333885682598,0.391609034274733,203286,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040788__Cni-ddx-27",0,0,0,"conserved","no change",-0.199387062231798,0.772045744805304,-0.982537036223564,198297,"I","C. nigoni background","No change","Conserved"
"WBGene00040788__Cni-Y71G12B.26",-1,-1,0,"no effect","C. nigoni dominant",-4.39625531863813,-1.19720173521419,-3.21275324988434,196677,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040788__Cni-Y71G12B.25",-1,-1,0,"no effect","C. nigoni dominant",-2.97373385094625,-0.153666763438762,-2.82182948561691,191054,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040788__Cnig_chr_I.g45",-1,-1,0,"no effect","C. nigoni dominant",-1.03291796916383,0.407494572277891,-1.4537563293147,188086,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040791__Cni-lin-65",0,0,0,"conserved","no change",0.458076963878008,0.766552098964118,-0.320125523319206,181438,"I","C. nigoni background","No change","Conserved"
"WBGene00040792__Cni-Y71G12B.10",0,-1,-1,"compensatory trans down","underdominant",-1.00997875462135,-0.8673429303897,-0.150844689481474,178936,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00040793__Cni-mppa-1",0,0,0,"conserved","no change",-0.30872148954379,-0.589869056109461,0.270086490811329,175422,"I","C. nigoni background","No change","Conserved"
"WBGene00040795__Cnig_chr_I.g40",0,0,0,"conserved","no change",0.959106959375589,0.763406079820446,0.182735519737683,168542,"I","C. nigoni background","No change","Conserved"
"WBGene00040797__Cnig_chr_I.g38",1,-1,-1,"C. briggsae partial trans down","underdominant",-3.24643818736325,-3.986957976562,0.728537438485246,158918,"I","C. nigoni background","Underdominant","cis-trans"
"WBGene00040801__Cni-M04C9.3",0,0,0,"conserved","no change",-0.745627096829557,-0.536561765639108,-0.222218017527616,149406,"I","C. nigoni background","No change","Conserved"
"WBGene00040802__Cni-dyf-5",0,0,0,"conserved","no change",0.768866310094948,1.15459873049107,-0.403529277501348,142001,"I","C. nigoni background","No change","Conserved"
"WBGene00040803__Cni-ppfr-1",-1,-1,0,"no effect","C. nigoni dominant",-1.42895123402725,-0.339543931438852,-1.10213619222297,126528,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040805__Cni-rtcb-1",0,1,0,"ambiguous","ambiguous",0.948930738440085,0.357436394719584,0.580887046753817,93665,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040806__Cni-F16A11.1",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.230335205631745,0.961925148773344,-1.20312123354742,86194,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00040807__Cni-F26A3.1",0,1,1,"compensatory trans up","overdominant",1.37385767874859,0.861609312270748,0.500830671177813,66139,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040808__Cni-ncbp-2",0,0,0,"conserved","no change",-0.761990976978735,-0.551488448233338,-0.220863984523568,64144,"I","C. nigoni background","No change","Conserved"
"WBGene00040809__Cnig_chr_I.g24",0,-1,-1,"compensatory trans down","underdominant",-5.75703100124321,-5.48618472178056,-0.281278363213911,61959,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00040810__Cnig_chr_I.g22",0,-1,-1,"compensatory trans down","underdominant",-3.38223231652454,-3.03472098836858,-0.356681335378139,56424,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00040812__Cni-pghm-1",0,1,1,"compensatory trans up","overdominant",1.1209122006266,0.929629793583798,0.181253064094967,48512,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00086600__Cnig_chr_I.g18",0,-1,-1,"compensatory trans down","underdominant",-1.38314069956008,-1.61879651856329,0.224543340547084,47037,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00040815__Cni-chaf-2",0,1,1,"compensatory trans up","overdominant",1.70477130453927,1.36790661051045,0.327263115425638,42336,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040818__Cni-nlp-12",0,0,0,"conserved","no change",0.300572544509946,0.768451574330408,-0.478401269066043,20927,"I","C. nigoni background","No change","Conserved"
"WBGene00040820__Cni-egl-30",-1,-1,0,"no effect","C. nigoni dominant",-0.541934550242956,0.481324389696532,-1.0344328994273,11475,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040821__Cni-rpl-27",1,1,-1,"C. briggsae partial trans down","additive down",1.11343901878807,-0.542539267547166,1.64575374388238,10321,"I","C. nigoni background","Additive","cis-trans"
"WBGene00040822__Cni-C53H9.2",0,1,1,"compensatory trans up","overdominant",1.69066124730802,1.45836862793265,0.220906334831279,8368,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040825__Cni-tag-96",0,0,0,"conserved","no change",-0.575298572903526,-0.0478825996919498,-0.537592167631848,3295119,"I","C. nigoni background","No change","Conserved"
"WBGene00040826__Cni-tub-2",0,0,1,"ambiguous","ambiguous",0.194441930157895,0.768739693047224,-0.585523846500567,3300603,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040827__Cni-scm-1",0,1,1,"compensatory trans up","overdominant",0.952181805701948,0.597099657916914,0.343814597695796,3312651,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040828__Cnig_chr_I.g1613",1,1,0,"no effect","C. nigoni dominant",3.46080248145722,0.452000692593479,2.9937825704685,7026102,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040829__Cni-Y71G12A.4",0,-1,-1,"compensatory trans down","underdominant",-2.08761683189111,-1.91436897185766,-0.182741788773784,3327141,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00040830__Cni-Y71G12B.33",0,-1,0,"ambiguous","ambiguous",-1.97793590566581,-1.16699397718495,-0.821174954660695,3331747,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040831__Cnig_chr_I.g635",0,0,0,"conserved","no change",-0.59681425652696,0.683500709624929,-1.29210122599167,3341129,"I","C. nigoni background","No change","Conserved"
"WBGene00086604__Cnig_chr_I.g639",0,0,0,"conserved","no change",0.88963874630212,2.79601238413637,-1.93268379010947,3352074,"I","C. nigoni background","No change","Conserved"
"WBGene00040832__Cni-Y71G12B.6",0,0,0,"conserved","no change",-0.242053779564417,-0.03910232846002,-0.212689033219265,3355615,"I","C. nigoni background","No change","Conserved"
"WBGene00040835__Cni-ain-2",0,1,1,"compensatory trans up","overdominant",0.86696047310732,0.987971225647004,-0.131374232440895,3368708,"I","C. nigoni background","Overdominant","Compensatory"
"WBGene00040836__Cni-ptps-1",1,0,-1,"C. briggsae directional trans down","C. briggsae dominant down",1.14078697560239,-1.5168087677018,2.64564262580339,3376395,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00040837__Cni-B0041.5",0,0,0,"conserved","no change",0.650206536760924,0.152512918530101,0.487574461392029,3379514,"I","C. nigoni background","No change","Conserved"
"WBGene00040838__Cni-B0041.8",0,0,0,"conserved","no change",0.356125893223676,0.128256520814924,0.215947336787893,3382309,"I","C. nigoni background","No change","Conserved"
"WBGene00040839__Cni-rpl-4",0,1,0,"ambiguous","ambiguous",0.409375397289904,0.241924264343873,0.157668725961765,3383541,"I","C. nigoni background","Ambiguous","Ambiguous"
"WBGene00040840__Cni-lmd-2",0,0,0,"conserved","no change",0.677828330927137,0.116825940140446,0.5574324297169,3384881,"I","C. nigoni background","No change","Conserved"
"WBGene00040841__Cni-Y119C1A.1",0,0,0,"conserved","no change",0.265315274625471,-0.637746242284432,0.893038969739239,3386052,"I","C. nigoni background","No change","Conserved"
"WBGene00040842__Cnig_chr_I.g651",0,-1,-1,"compensatory trans down","underdominant",-0.895882769844748,-1.29731654257127,0.392245181380584,3390708,"I","C. nigoni background","Underdominant","Compensatory"
"WBGene00040843__Cni-C44E4.4",-1,0,1,"C. briggsae directional trans up","C. briggsae dominant up",-0.127004994504789,0.769565588515642,-0.906640037277697,3397332,"I","C. nigoni background","Cbr dominant","trans-only"
"WBGene00040849__Cnig_chr_I.g655",0,0,0,"conserved","no change",0.248815680879723,0.155792274662229,0.0782213998445311,3434767,"I","C. nigoni background","No change","Conserved"
"WBGene00040852__Cnig_chr_I.g657",-1,-1,0,"no effect","C. nigoni dominant",-1.55902104168754,-0.196174104413286,-1.37395260301766,3438940,"I","C. nigoni background","Cni dominant","No change"
"WBGene00040853__Cni-syp-3",0,0,0,"conserved","no change",0.0956411815403538,0.380905780368727,-0.293048147049889,3438051,"I","C. nigoni background","No change","Conserved"
"WBGene00040855__Cni-D1007.15",0,0,0,"conserved","no change",-0.219033445390858,0.47768281439819,-0.709942839653319,3442450,"I","C. nigoni background","No change","Conserved"
"WBGene00040856__Cni-Y119C1B.10",0,0,0,"conserved","no change",-0.0420532954115576,2.84934819474321,-2.91473882815292,3458241,"I","C. nigoni background","No change","Conserved"
"WBGene00040857__Cni-pqn-24",-1,1,1,"C. briggsae partial trans up","overdominant",0.691692558304717,1.76575091404826,-1.08413644401247,3461113,"I","C. nigoni background","Overdominant","cis-trans"
"WBGene00040858__Cni-D1007.13",0,0,0,"conserved","no change",-0.984426253055144,-1.3228779551387,0.328407891587092,3467424,"I","C. nigoni background","No change","Conserved"
